9, 9, 9, 9, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9,
9, 20, 64, 48, 64, 48, 64, 17, 33, 48, 64, 48, 64, 48, 36, 9,
9, 352, 176, 128, 176, 128, 176, 49, 65, 128, 176, 128, 176, 128, 176, 9,
9, 336, 320, 320, 320, 320, 128, 112, 128, 112, 320, 320, 320, 320, 320, 9,
9, 82, 66, 50, 34, 18, 128, 176, 128, 176, 178, 194, 210, 226, 242, 9,
9, 162, 146, 130, 114, 98, 96, 80, 96, 80, 258, 274, 290, 306, 322, 9,
9, 352, 128, 112, 128, 112, 128, 112, 128, 112, 128, 112, 128, 112, 128, 9,
9, 144, 176, 128, 176, 128, 176, 128, 176, 128, 176, 128, 176, 128, 176, 9,
9, 144, 80, 19, 35, 96, 80, 96, 80, 96, 22, 38, 54, 96, 80, 9,
9, 21, 128, 51, 67, 112, 128, 112, 128, 112, 128, 112, 128, 112, 128, 9,
9, 21, 176, 128, 176, 128, 176, 128, 176, 128, 176, 128, 176, 128, 176, 9,
9, 336, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 9,
9, 104, 88, 72, 56, 40, 24, 16, 32, 16, 32, 338, 354, 370, 386, 9,
9, 23, 23, 23, 23, 23, 23, 55, 71, 87, 103, 402, 418, 434, 450, 9,
9, 39, 39, 39, 39, 39, 39, 119, 135, 151, 167, 39, 39, 39, 39, 9
